source_field,target_field,match_type,order
4F_MIN_LOT,F4F_Min_Lot_Size,Replace,5.09
F4F_MIN_LOT,F4F_Min_Lot_Size,Replace,5.09
F4F_Min_Lot_Size,F4F_Min_Lot_Size,Replace,5.09
4F Max Lot Building Coverage,F4F_Max_Lot_Building_Coverage,Replace,5.10
4F_MAX_LOT_BLDG,F4F_Max_Lot_Building_Coverage,Replace,5.10
F4F_MAX_LOT_BLDG,F4F_Max_Lot_Building_Coverage,Replace,5.10
F4F_Max_Lot_Building_Coverage,F4F_Max_Lot_Building_Coverage,Replace,5.10
4F Max Lot Impervious Coverage,F4F_Max_Lot_Impervious_Coverage,Replace,5.11
4F_MAX_LOT_IMP,F4F_Max_Lot_Impervious_Coverage,Replace,5.11
F4F_MAX_LOT_IMP,F4F_Max_Lot_Impervious_Coverage,Replace,5.11
F4F_Max_Lot_Impervious_Coverage,F4F_Max_Lot_Impervious_Coverage,Replace,5.11
4F Min Parking Spaces per 1BR,F4F_Min_Parking_Spaces_per_1BR,Replace,5.12
4F_PARK_1BR,F4F_Min_Parking_Spaces_per_1BR,Replace,5.12
F4F_Min_Parking_Spaces_per_1BR,F4F_Min_Parking_Spaces_per_1BR,Replace,5.12
F4F_PARK_1BR,F4F_Min_Parking_Spaces_per_1BR,Replace,5.12
4F Min Parking Spaces per  mult BR,F4F_Min_Parking_Spaces_per_mult_BR,Replace,5.13
4F_PARK_2BR,F4F_Min_Parking_Spaces_per_mult_BR,Replace,5.13
F4F_Min_Parking_Spaces_per__mult_BR,F4F_Min_Parking_Spaces_per_mult_BR,Replace,5.13
F4F_Min_Parking_Spaces_per_mult_BR,F4F_Min_Parking_Spaces_per_mult_BR,Replace,5.13
F4F_PARK_2BR,F4F_Min_Parking_Spaces_per_mult_BR,Replace,5.13
3F Elderly Housing Only,F3F_Elderly_Housing_Only,Replace,5.14
F3F_Elderly_Housing_Only,F3F_Elderly_Housing_Only,Replace,5.14
4F Elderly Housing Only,F4F_Elderly_Housing_Only,Replace,5.14
4F_ELD,F4F_Elderly_Housing_Only,Replace,5.14
F4F_ELD,F4F_Elderly_Housing_Only,Replace,5.14
F4F_Elderly_Housing_Only,F4F_Elderly_Housing_Only,Replace,5.14
4F Affordable Housing Only,F4F_Affordable_Housing_Only,Replace,5.15
4F_AFF,F4F_Affordable_Housing_Only,Replace,5.15
F4F_AFF,F4F_Affordable_Housing_Only,Replace,5.15
F4F_Affordable_Housing_Only,F4F_Affordable_Housing_Only,Replace,5.15
4F Proximity to Public Transit Required,F4F_Proximity_to_Public_Transit_Required,Replace,5.16
4F_CNXN_TRANSIT,F4F_Proximity_to_Public_Transit_Required,Replace,5.16
F4F_CNXN_TRANSIT,F4F_Proximity_to_Public_Transit_Required,Replace,5.16
F4F_Proximity_to_Public_Transit_Required,F4F_Proximity_to_Public_Transit_Required,Replace,5.16
4F Connection to Sewage/Water Required,F4F_Connection_to_Sewage/Water_Required,Replace,5.17
F4F_Connection_to_Sewage_Water_Required,F4F_Connection_to_Sewage/Water_Required,Replace,5.17
F4F_Connection_to_Sewage/Water_Required,F4F_Connection_to_Sewage/Water_Required,Replace,5.17
ADU Allowance,ADU_Allowance,Replace,6.01
ADU_Allowance,ADU_Allowance,Replace,6.01
ADUDP,ADU_Allowance,Replace,6.01
ADU Elderly Housing Only,ADU_Elderly_Housing_Only,Replace,6.02
ADU_ELD,ADU_Elderly_Housing_Only,Replace,6.02
ADU_Elderly_Housing_Only,ADU_Elderly_Housing_Only,Replace,6.02
ADU Max Size as Percent of Primary Strcture,ADU_Max_Size_as_Percent_of_Primary_Strcture,Replace,6.03
ADU_Max_Size_as_Percent_of_Primary_Strcture,ADU_Max_Size_as_Percent_of_Primary_Strcture,Replace,6.03
ADU_PRIM_STRUC,ADU_Max_Size_as_Percent_of_Primary_Strcture,Replace,6.03
ADU Max Size in sq ft,ADU_Max_Size_in_sq_ft,Replace,6.04
ADU_MAX_SIZE,ADU_Max_Size_in_sq_ft,Replace,6.04
ADU_Max_Size_in_sq_ft,ADU_Max_Size_in_sq_ft,Replace,6.04
ADU Min Lot Size,ADU_Min_Lot_Size,Replace,6.05
ADU_MIN_LOT,ADU_Min_Lot_Size,Replace,6.05
ADU_Min_Lot_Size,ADU_Min_Lot_Size,Replace,6.05
ADU Max Bedrooms,ADU_Max_Bedrooms,Replace,6.06
ADU_BEDROOMS,ADU_Max_Bedrooms,Replace,6.06
ADU_Max_Bedrooms,ADU_Max_Bedrooms,Replace,6.06
ADU Min Parking Spaces,ADU_Min_Parking_Spaces,Replace,6.07
ADU_Min_Parking_Spaces,ADU_Min_Parking_Spaces,Replace,6.07
ADU_PARK,ADU_Min_Parking_Spaces,Replace,6.07
ADU Owner Occupancy Required,ADU_Owner_Occupancy_Required,Replace,6.08
ADU_Owner_Occupancy_Required,ADU_Owner_Occupancy_Required,Replace,6.08
ADU_OWNER_REQD,ADU_Owner_Occupancy_Required,Replace,6.08
ADU Renter Occupancy Prohibited,ADU_Renter_Occupancy_Prohibited,Replace,6.09
ADU_Renter_Occupancy_Prohibited,ADU_Renter_Occupancy_Prohibited,Replace,6.09
ADU_RENTER_PROH,ADU_Renter_Occupancy_Prohibited,Replace,6.09
ADU Employee or Family Occupancy Required,ADU_Employee_or_Family_Occupancy_Required,Replace,6.10
ADU_Employee_or_Family_Occupancy_Required,ADU_Employee_or_Family_Occupancy_Required,Replace,6.10
ADU Restricted to Primary Structure,ADU_Restricted_to_Primary_Structure,Replace,6.11
ADU_Restricted_to_Primary_Structure,ADU_Restricted_to_Primary_Structure,Replace,6.11
AFFDP,Affordable_Housing_Allowance,Replace,7.01
Affordable Housing Allowance,Affordable_Housing_Allowance,Replace,7.01
Affordable_Housing_Allowance,Affordable_Housing_Allowance,Replace,7.01
AFF_DIST,Affordable_Housing_District,Replace,7.02
Affordable Housing District,Affordable_Housing_District,Replace,7.02
Affordable_Housing_District,Affordable_Housing_District,Replace,7.02
AFF_ELD_ONLY,Affordable_Housing_Elderly_Only,Replace,7.03
Affordable Housing Elderly Only,Affordable_Housing_Elderly_Only,Replace,7.03
Affordable_Housing_Elderly_Only,Affordable_Housing_Elderly_Only,Replace,7.03
AFF_MIN_LOT,Affordable_Housing_Min_Lot_Size,Replace,7.04
Affordable Housing Min Lot Size,Affordable_Housing_Min_Lot_Size,Replace,7.04
Affordable_Housing_Min_Lot_Size,Affordable_Housing_Min_Lot_Size,Replace,7.04
AFF_MAX_DENS,Affordable_Housing_Max_Density,Replace,7.05
Affordable Housing Max Density,Affordable_Housing_Max_Density,Replace,7.05
Affordable_Housing_Max_Density,Affordable_Housing_Max_Density,Replace,7.05
AFF_PARK_2BR,Affordable_Housing_Min_Parking_Spaces_per_mult_BR,Replace,7.06
Affordable Housing Min Parking Spaces per mult BR,Affordable_Housing_Min_Parking_Spaces_per_mult_BR,Replace,7.06
Affordable_Housing_Min_Parking_Spaces_per_mult_BR,Affordable_Housing_Min_Parking_Spaces_per_mult_BR,Replace,7.06
AFF_MAX_UNIT,Affordable_Housing_Max_Units_per_Building,Replace,7.07
Affordable Housing Max Units per Building,Affordable_Housing_Max_Units_per_Building,Replace,7.07
Affordable_Housing_Max_Units_per_Building,Affordable_Housing_Max_Units_per_Building,Replace,7.07
AFF_PARK_1BR,Affordable_Housing_Min_Parking_Spaces_per_1BR,Replace,7.08
Affordable Housing Min Parking Spaces per 1BR,Affordable_Housing_Min_Parking_Spaces_per_1BR,Replace,7.08
Affordable_Housing_Min_Parking_Spaces_per_1BR,Affordable_Housing_Min_Parking_Spaces_per_1BR,Replace,7.08
PRD Allowance,PRD_Allowance,Replace,8.01
PRD_Allowance,PRD_Allowance,Replace,8.01
PRDDP,PRD_Allowance,Replace,8.01
PRD Max Density,PRD_Max_Density,Replace,8.02
PRD_MAX_DENS,PRD_Max_Density,Replace,8.02
PRD_Max_Density,PRD_Max_Density,Replace,8.02
PRD Max Units,PRD_Max_Units,Replace,8.03
PRD_MAX_UNIT,PRD_Max_Units,Replace,8.03
PRD_Max_Units,PRD_Max_Units,Replace,8.03
PRD Min Lot Size,PRD_Min_Lot_Size,Replace,8.04
PRD_MIN_LOT,PRD_Min_Lot_Size,Replace,8.04
PRD_Min_Lot_Size,PRD_Min_Lot_Size,Replace,8.04
PRD Mobile or Manufactured Home Park,PRD_Mobile_or_Manufactured_Home_Park,Replace,8.05
PRD_MHP,PRD_Mobile_or_Manufactured_Home_Park,Replace,8.05
PRD_Mobile_or_Manufactured_Home_Park,PRD_Mobile_or_Manufactured_Home_Park,Replace,8.05
PUD Allowance,PUD_Allowance,Replace,9.01
PUD_ALLOW,PUD_Allowance,Replace,9.01
PUD_Allowance,PUD_Allowance,Replace,9.01
PUD Required with Subdivision,PUD_Required_with_Subdivision,Replace,9.02
PUD_Required_with_Subdivision,PUD_Required_with_Subdivision,Replace,9.02
PUD_SUBDV,PUD_Required_with_Subdivision,Replace,9.02
PUD Requires Land Conservation,PUD_Requires_Land_Conservation,Replace,9.03
PUD_CONSERVE,PUD_Requires_Land_Conservation,Replace,9.03
PUD_Requires_Land_Conservation,PUD_Requires_Land_Conservation,Replace,9.03
PUD Threshold Number,PUD_Threshold_Number,Replace,9.04
PUD_THRESH,PUD_Threshold_Number,Replace,9.04
PUD_Threshold_Number,PUD_Threshold_Number,Replace,9.04
NOTE,Notes,Replace,9.05
NOTES,Notes,Replace,9.05
TTIPNOTES,Notes,Replace,9.05
Notes,Notes,Replace,9.05
1F Floor to Area Ratio,,Remove,
1F Min Unit Size,,Remove,
1F_FSET_COND_ALT,,Remove,
1F_FTA,,Remove,
1F_FTA_COND_ALT,,Remove,
1F_HEIGHT_COND_ALT,,Remove,
1F_MAX_LOT_BLDG_COND_ALT,,Remove,
1F_MAX_LOT_IMP_COND_ALT,,Remove,
1F_MIN_LOT_COND_ALT,,Remove,
1F_MIN_UNIT,,Remove,
1F_MIN_UNIT_COND_ALT,,Remove,
1F_PARK_COND_ALT,,Remove,
1F_RSET_COND_ALT,,Remove,
1F_SSET_COND_ALT,,Remove,
1F_STORIES_COND_ALT,,Remove,
2F Floor to Area Ratio,,Remove,
2F Min Unit Size,,Remove,
2F_FSET_COND_ALT,,Remove,
2F_FTA,,Remove,
2F_FTA_COND_ALT,,Remove,
2F_HEIGHT_COND_ALT,,Remove,
2F_MAX_DENS_COND_ALT,,Remove,
2F_MAX_LOT_BLDG_COND_ALT,,Remove,
2F_MAX_LOT_IMP_COND_ALT,,Remove,
2F_MIN_LOT_COND_ALT,,Remove,
2F_MIN_UNIT,,Remove,
2F_MIN_UNIT_COND_ALT,,Remove,
2F_PARK_1BR_COND_ALT,,Remove,
2F_PARK_2BR_COND_ALT,,Remove,
2F_RSET_COND_ALT,,Remove,
2F_SSET_COND_ALT,,Remove,
2F_STORIES_COND_ALT,,Remove,
3F Floor to Area Ratio,,Remove,
3F Max Bedrooms,,Remove,
3F Min Unit Size,,Remove,
3F_BEDROOMS,,Remove,
3F_BEDROOMS_COND_ALT,,Remove,
3F_CNXN_H2O,,Remove,
3F_ELD,,Remove,
3F_FSET_COND_ALT,,Remove,
3F_FTA,,Remove,
3F_FTA_COND_ALT,,Remove,
3F_HEIGHT_COND_ALT,,Remove,
3F_MAX_DENS_COND_ALT,,Remove,
3F_MAX_LOT_BLDG_COND_ALT,,Remove,
3F_MAX_LOT_IMP_COND_ALT,,Remove,
3F_MIN_LOT_COND_ALT,,Remove,
3F_MIN_UNIT,,Remove,
3F_MIN_UNIT_COND_ALT,,Remove,
3F_PARK_1BR_COND_ALT,,Remove,
3F_PARK_2BR_COND_ALT,,Remove,
3F_RSET_COND_ALT,,Remove,
3F_SSET_COND_ALT,,Remove,
3F_STORIES_COND_ALT,,Remove,
4F Floor to Area Ratio,,Remove,
4F Max Bedrooms,,Remove,
4F Max Units per Building,,Remove,
4F Min Unit Size,,Remove,
4F_BEDROOMS,,Remove,
4F_BEDROOMS_COND_ALT,,Remove,
4F_CNXN_H2O,,Remove,
4F_FSET_COND_ALT,,Remove,
4F_FTA,,Remove,
4F_FTA_COND_ALT,,Remove,
4F_HEIGHT_COND_ALT,,Remove,
4F_MAX_DENS_COND_ALT,,Remove,
4F_MAX_LOT_BLDG_COND_ALT,,Remove,
4F_MAX_LOT_IMP_COND_ALT,,Remove,
4F_MAX_UNIT,,Remove,
4F_MAX_UNIT_COND_ALT,,Remove,
4F_MIN_LOT_COND_ALT,,Remove,
4F_MIN_UNIT,,Remove,
4F_MIN_UNIT_COND_ALT,,Remove,
